Relating_Object_Type,Relating_Object_GUID,Related_Object_Type,Related_Object_GUID,Relationship_Type
IfcElementAssembly,2HSNy1sl14fhZ0EhhKVbRD,IfcBeam,2Fdf7QQe5E6h6FsqsCRpaf,IfcRelAggregates
IfcElementAssembly,0w9N5WV$92j9479PmF2xcO,IfcBeam,1hPhB98xT5wgebNTVI7l0C,IfcRelAggregates
IfcElementAssembly,1C4f92TNz6PAlP$5quNGrF,IfcBeam,1BMOkIEM52XQQUq_8skjsr,IfcRelAggregates
IfcElementAssembly,1pA531Y6vF28K2n2giBFXi,IfcBeam,3lByObu6z06PL7dtDSR8pQ,IfcRelAggregates
IfcElementAssembly,3p0ZNm0jf1HPUbw6$_EdRV,IfcBeam,1ev5AolcrBN9K8wFORLnsU,IfcRelAggregates
IfcElementAssembly,3iWrdnN7b3SvI3UhVjYGsq,IfcBeam,3VUiMk8Pv1LQyV7CoNxpjh,IfcRelAggregates
IfcElementAssembly,2F9Fvx8zrBURd8vRXdDl$$,IfcBeam,0AuwMmAkXAmhxWt2TeqPKs,IfcRelAggregates
IfcElementAssembly,2g4AiNPov7QQ51h59_V7n7,IfcBeam,3vxAszUFH228$xyq4iMn11,IfcRelAggregates
IfcElementAssembly,3Qw442nFb6DBNZ$LogkHls,IfcBeam,3418FIlqX05viv_ZRWm89l,IfcRelAggregates
IfcElementAssembly,2KgIs2OZf90AT$uVLBVR5C,IfcBeam,0u58eQzVX29eKHHmVLO16Q,IfcRelAggregates
IfcElementAssembly,3ABaSr1y5DbwUPVHOuWaYf,IfcBeam,1EW4iJ0BbD38ra5kzHiKXD,IfcRelAggregates
IfcElementAssembly,3$2akSXTD6DOocIAK17yZH,IfcBeam,2jAc7X8LX50uISwsdx0skj,IfcRelAggregates
IfcElementAssembly,00wF97lWbDDACVs$G64OMk,IfcBeam,3YAeWHFHT0Wxc7GWhD4rwh,IfcRelAggregates
IfcElementAssembly,2Q1I$AYSv4tuwt6$y_dijl,IfcBeam,0OYLsf_Kb7jgyohfgoGGN6,IfcRelAggregates
IfcElementAssembly,2ZfzqUZer0LADfVfUeg2hv,IfcBeam,0bkbjv1XfFdfcjPbJZm8bi,IfcRelAggregates
IfcElementAssembly,1OAFYDIzLFI9FB_VdI9gwK,IfcBeam,2zxW16hz12AeWAkb10jVIX,IfcRelAggregates
IfcElementAssembly,2PvqFPfx993PHGSta5Y1dn,IfcBeam,22pgSY4I9EzuFMhQsN97ri,IfcRelAggregates
IfcElementAssembly,2RrlW0Jvr4vx4lA7a4djMr,IfcBeam,1F9h75ovT35PeW8xq4p$am,IfcRelAggregates
IfcElementAssembly,0NAK3nXsr1jBPWs6uuPz61,IfcBeam,2WyWVU44v00f1GR6YOeG4y,IfcRelAggregates
IfcElementAssembly,0xETsSBHD0v9xu8JS3Ib7W,IfcBeam,3G2XAp5eXEu88hXmn1rqSP,IfcRelAggregates
IfcElementAssembly,0unhAMdwLBEPeSB$NTMbNt,IfcBeam,26sgtG6VjCxPS3WyyAlK$C,IfcRelAggregates
IfcElementAssembly,2fegPOb0z4V84lCudBiOvn,IfcBeam,16VEdkbh97WhPnqjcpx7em,IfcRelAggregates
IfcElementAssembly,1YaqtcW2DC7uxDRBf9hQ9s,IfcBeam,0Aq3PckQj7F82DYblrujDy,IfcRelAggregates
IfcElementAssembly,3k9Rjqt_X7wwN07pEbH3X2,IfcBeam,2dz4qT6IDCBvtKT7PgqtqA,IfcRelAggregates
IfcElementAssembly,25TSJZUFD8789gzzGzOydw,IfcBeam,1GYU$v8hL3bOx_w2_c9ffk,IfcRelAggregates
IfcElementAssembly,1MPyU_Z2T5Nud6NJS95tKW,IfcBeam,09yoPVK0f2SvjYyjmZeUnn,IfcRelAggregates
IfcElementAssembly,3MbSN7SDP6EA$44rJgO8yP,IfcBeam,374swCVoz8S9jJmqhyfBOE,IfcRelAggregates
IfcElementAssembly,1e0jM8rPL4vPwsZ9sN1BFU,IfcBeam,3TkuuFx3D7qP5PFsummV8L,IfcRelAggregates
IfcElementAssembly,0aCdQQ0Q57FBXm0Jx3Av0f,IfcBeam,0JHE9gvzzFDRnSuS0pXB1y,IfcRelAggregates
IfcElementAssembly,1196Jonmj2_ww9hSJguC2I,IfcBeam,08dP3yOuHDNer$$rFB8Css,IfcRelAggregates
IfcElementAssembly,0xawPGyODEiQt4hcUDPXhp,IfcBeam,0tgZOGJwjAeBy2F1Ttm$Qj,IfcRelAggregates
IfcElementAssembly,1Ihz3iarLDrArvToUDsUBa,IfcBeam,0aWpDnBl9By9tvMX_FCKOf,IfcRelAggregates
IfcElementAssembly,3GJIvWAfTDefFNar5Ezclx,IfcBeam,2BL7W5lsn76frL2GK1WwQ0,IfcRelAggregates
IfcElementAssembly,1Q$x9hsHL0vuMns4PS5Trf,IfcBeam,38BTbS0n9FLP3Wq8wCsYYm,IfcRelAggregates
IfcElementAssembly,1jQOOyD95D5fAzUVeMlGN5,IfcBeam,0lN0G9jHf5Mf6jzCuY68qw,IfcRelAggregates
IfcElementAssembly,3pcyDV1KbB3fhcsKCQYLXr,IfcBeam,33oj_Y9jPAnRohLQs5ayIx,IfcRelAggregates
IfcElementAssembly,1HoGypAQj9Yf$lAhyvtWuj,IfcBeam,1ObrGXTin4TfIgQm83LjlI,IfcRelAggregates
IfcElementAssembly,2UfCCWWpXDXvDpXECKXTJf,IfcBeam,0n1aniWob6RB0zpkulfJlT,IfcRelAggregates
IfcElementAssembly,2bl$CNPf51HOO66$z1octb,IfcBeam,3zgbMZuPPCJPSdJezD2HUG,IfcRelAggregates
IfcElementAssembly,0JjLxj2kLCRv01t0vrW5Kw,IfcBeam,2fu33FxuzE3B5K02w_4F4t,IfcRelAggregates
IfcElementAssembly,29_O2XLnX0UR6FzaPwhERy,IfcBeam,1KtF6YfkPCLvJWw6hVVcyY,IfcRelAggregates
IfcElementAssembly,3udsJmbY1DVA2E791d9PKw,IfcBeam,3i3kaIy4L6S9FLJAQZxcyK,IfcRelAggregates
IfcElementAssembly,0UoOtSd09DfgJ1AF4yfqba,IfcBeam,1Wy3yz$QbEbPxcUBB82WbC,IfcRelAggregates
IfcElementAssembly,35kzznu3TAxQtjUgA53piY,IfcBeam,1vpZo6hpD7JP4$TCMjD2QC,IfcRelAggregates
IfcElementAssembly,17cLhBGwXDWPKr95ss2CpY,IfcBeam,2Vl5xAPKv8Exyt9djAYLxH,IfcRelAggregates
IfcElementAssembly,2dUhWGgDf13PleqEdzkSQU,IfcBeam,0jianhknn1TQgu1ySl4eVv,IfcRelAggregates
IfcElementAssembly,0Rl8TCDi9AAf3aK8vohHr1,IfcBeam,2Xa0uxUq9ElRdW8hZaEqWm,IfcRelAggregates
IfcElementAssembly,0zUV$7VAX3cPeMZYxhHcCU,IfcBeam,1tVsABdjLDSv2BKZADGaxJ,IfcRelAggregates
IfcElementAssembly,3HNsqCeM5F8OwUB_Xeux8f,IfcBeam,0kX8FbjOvEq9IwmQ7cqRaf,IfcRelAggregates
IfcElementAssembly,0DWlqJZWfAXOzqec$jA515,IfcBeam,1bU$u4iC52zRblhXeYxeQe,IfcRelAggregates
IfcElementAssembly,04164ox6H5yOdmggcoYnaC,IfcBeam,19zUOiNmP7Mwos3Ujm1H2i,IfcRelAggregates
IfcElementAssembly,3rUVCjVDXF3vrD8$G7zMah,IfcBeam,1uEVMuDF1D8xHcsHvyb2lH,IfcRelAggregates
IfcElementAssembly,0aH4nPP2bEfvpHDnWNTWxK,IfcBeam,3Q7SxODWnAyOycCggHMCV2,IfcRelAggregates
IfcElementAssembly,0kctNCxT96ZxPj82gx984J,IfcBeam,0cZi9dZFf1_OCT8iMpfJS1,IfcRelAggregates
IfcElementAssembly,16w1nVOP16q97$UXTt4NQR,IfcBeam,06ibeTWCvFKQiWnOoPrnaI,IfcRelAggregates
IfcElementAssembly,1n3Kf08O9BQxPfyoyhijbA,IfcColumn,0cvfjL5CP0OeVpf0kGRx4I,IfcRelAggregates
IfcElementAssembly,0JNMxVcG5AtespUXfnKs6L,IfcColumn,0TldtMQQj9WxPdloR1Zvsc,IfcRelAggregates
IfcElementAssembly,3GSu$y7Zz7efw1Jw5ocRic,IfcColumn,3lHjzW$QLDsxmvEQhu7h5r,IfcRelAggregates
IfcElementAssembly,3YUoVW_0z4ngeneqRhGfAC,IfcColumn,3lnVQwodj2bg6IXQQuFS$Q,IfcRelAggregates
IfcElementAssembly,0bW9hrpQD35BTsZPReDuKT,IfcColumn,1EF30O2iP6fR6b$AElRDdB,IfcRelAggregates
IfcElementAssembly,13rY_H$mrAHQ4DWzpRm2hf,IfcColumn,2D$7GAY698zQWJFB1Y4M5N,IfcRelAggregates
IfcElementAssembly,2_SMk1jOL4zOQwwNJxaeWP,IfcColumn,3pIDz3JAT7Rvko5tixMHb1,IfcRelAggregates
IfcElementAssembly,2lf9JHmtT4P9oxaiozUeiW,IfcColumn,3ZVOFzm7P8jQORVIr4ahP5,IfcRelAggregates
IfcElementAssembly,1ar07k3dnDxeqlNSOAoBfo,IfcColumn,2eUUqHiH99UOO2J6DHAMFN,IfcRelAggregates
IfcElementAssembly,22gTrJ_kj65wRY9jWf29mH,IfcColumn,2cRQBiM4DAugVgkvtx1WYz,IfcRelAggregates
IfcElementAssembly,1S8ChcBjnAcfWiByNw0ENr,IfcColumn,1zAZgk2azCk845ZRUHBGSX,IfcRelAggregates
IfcElementAssembly,2u_RgxSx9ALRPp_hdAfn6f,IfcColumn,3ak$lJrrH2mQXGlhndpB4T,IfcRelAggregates
IfcElementAssembly,1lPl2Yj6H6y9eRPgt1MLgP,IfcColumn,2LR1_ovnz0OhDRC3rnc5bu,IfcRelAggregates
IfcElementAssembly,2n_iRu5y19pRuRyZFdkO$m,IfcColumn,1lJeXMbyTE5uFq_rONFjaO,IfcRelAggregates
IfcElementAssembly,3IFntLaln4iQqMg4fXdtLe,IfcColumn,0e_P_ZkXvFmApOLrmIeNvt,IfcRelAggregates
IfcElementAssembly,3C9LGCDoDEvvOXlT2qQl5u,IfcColumn,3xhXx$D3bCvQSBqgXsHSLB,IfcRelAggregates
IfcElementAssembly,3PNPJS3Zz2s9ceAGje_5D1,IfcColumn,0chllzs$n9cOcz$lb5fy7s,IfcRelAggregates
IfcElementAssembly,2FfkERb4TFU9XjfCLhHUhA,IfcColumn,1FvQX6DPvAPwU_mhi3wstV,IfcRelAggregates
IfcElementAssembly,2enbWKCynA3OX6_qxb3AXs,IfcColumn,3Rr5qgK0jCHvbGu_lV1rrr,IfcRelAggregates
IfcElementAssembly,06km7NMpf2zey4YYKHg2BA,IfcColumn,2brfbBL7TDFx7JcvQGn1Ac,IfcRelAggregates
IfcElementAssembly,16rJlsWIr4Y9pkZPXwGrbS,IfcColumn,2vH2yHmDr2SO0g9waLmy89,IfcRelAggregates
IfcElementAssembly,2m01r0Ntv4re3nYDki8PIx,IfcColumn,3NiccIt1D4ZehtY7AeuL5w,IfcRelAggregates
IfcElementAssembly,0exChrelTBM9cXIdLmxArM,IfcColumn,1lXKNYzxjAHuEpAPyVf_zZ,IfcRelAggregates
IfcElementAssembly,2mta8Bm65FyRTslWMmZvBs,IfcColumn,0BasdDDPL7F8GkOCv30x_U,IfcRelAggregates
IfcElementAssembly,0EyC_rw8b4o9yepNZBVPey,IfcColumn,3Q77vFfuf5TA_wJtko47q6,IfcRelAggregates
IfcElementAssembly,3aZX6FyHT8dg28RpJN_$bq,IfcColumn,25gtnH_h9DNup2kOFOAyKI,IfcRelAggregates
IfcElementAssembly,1599TIEYvFdhv3QqxbY4vR,IfcColumn,2mR76zRDP87AkPPzXpVbMG,IfcRelAggregates
IfcElementAssembly,0_WhvRkRHA5xBaMzoPWe5K,IfcColumn,395hc79tr5qgGI6fpFvDFG,IfcRelAggregates
IfcElementAssembly,34AnHAnur9fhAIBH0KqEN3,IfcColumn,2kOSCmMcP5PO2Qq2lmyrD3,IfcRelAggregates
IfcElementAssembly,2ksSH$j5r5GQzHNBQKtYKA,IfcColumn,2uXw3tWxD1I9OJ0wC5q$0$,IfcRelAggregates
IfcElementAssembly,3LuphJRmLFnOYDnN$USmDY,IfcBeam,2pp_JALhb5ROG2uWfkSRUe,IfcRelAggregates
